Draft_Yr,Pk,Tm,Player,College,seasons,Field_Goal_Percentage ,3points_Field_Goal_Percentage ,Free_Throw_Percentage,Minutes_Played_Per_Game,Points_Per_Game ,Total_Rebounds_per_Game ,Assist_Per_Game ,WS,WS/48,BPM,VORP
1970,3,ATL,Pete Maravich,Louisiana State University,10,0.441,0.667,0.82,37,24.2,4.2,5.4,46.7,0.092,0.8,11.4
1970,4,BOS,Dave Cowens,Florida State University,11,0.46,0.071,0.783,38.6,17.6,13.6,3.8,86.3,0.14,3.2,26.2
1970,5,CIN,Sam Lacey,New Mexico State University,13,0.441,0.188,0.738,31.8,10.3,9.7,3.7,50.9,0.077,3,29.7
1970,6,SEA,Jim Ard,University of Cincinnati,4,0.361,,0.695,12.2,3.5,3.8,0.7,2,0.036,-4.9,-2
1970,7,CLE,John Johnson,University of Iowa,12,0.446,0,0.779,29.6,12.9,5.5,3.8,37.1,0.069,-0.6,6.4
1970,8,POR,Geoff Petrie,Princeton University,6,0.455,,0.805,37.6,21.8,2.8,4.6,26.1,0.075,-1.8,0.3
1970,9,BAL,George Johnson,Stephen F. Austin State University,3,0.442,,0.431,10.8,2.8,3.2,0.3,0.6,0.036,-4.6,-0.2
1970,10,PHO,Greg Howard,University of New Mexico,2,0.388,,0.697,9.3,3.4,2.5,0.6,0.6,0.034,,
1970,11,CHI,Jimmy Collins,New Mexico State University,2,0.414,,0.804,8.3,3.8,0.9,0.9,0.6,0.044,,
1970,12,PHI,Al Henry,University of Wisconsin,2,0.426,,0.7,9.1,4,3,0.2,0.7,0.074,,
1970,13,LAL,Jim McMillian,Columbia University,9,0.482,,0.832,32.1,13.8,5.3,2.5,46,0.109,0.2,6.9
1970,14,ATL,John Vallely,"University of California, Los Angeles",2,0.379,,0.721,8,3.6,0.7,0.8,-0.3,-0.02,,
1970,15,BUF,John Hummer,Princeton University,6,0.438,,0.524,22.7,6.9,5.3,1.7,4.8,0.031,-3.1,-0.6
1970,16,MIL,Gary Freeman,Oregon State University,1,0.515,,0.725,7.3,3.2,2,0.7,1.2,0.155,,
1970,17,NYK,Mike Price,University of Illinois at Urbana-Champaign,2,0.404,,0.772,8.8,3.3,1.3,0.7,0.5,0.021,,
1970,18,SDR,Calvin Murphy,Niagara University,13,0.482,0.139,0.892,30.5,17.9,2.1,4.4,84.1,0.132,0.7,16.4
1970,19,CIN,Tiny Archibald,University of Texas at El Paso,13,0.467,0.224,0.81,35.6,18.8,2.3,7.4,83.4,0.128,-0.2,9.5
1970,20,SEA,Jake Ford,University of Maryland Eastern Shore,2,0.462,,0.764,8,4.1,0.6,1.1,0.7,0.133,,
1970,21,BOS,Rex Morgan,Jacksonville University,2,0.375,,0.682,6.7,2.8,1.5,0.6,0.5,0.063,,
1970,23,SEA,Pete Cross,University of San Francisco,3,0.431,,0.695,20.7,5.8,8.3,1,4.2,0.053,,
1970,24,BUF,Cornell Warner,Jackson State University,7,0.452,,0.672,23.6,6.4,7.5,1.1,15.8,0.072,-1.3,1.2
1970,25,POR,Walt Gilmore,Fort Valley State University,1,0.426,,0.462,9.7,2.1,2.7,0.4,0.2,0.033,,
1970,26,CLE,Dave Sorenson,Ohio State University,3,0.442,,0.778,18.1,8.1,4.7,1.3,5.4,0.067,,
1970,27,PHO,Fred Taylor,University of Texas-Pan American,2,0.364,,0.592,9.5,4.4,1.6,0.8,-0.6,-0.035,,
1970,28,CHI,Paul Ruffner,Brigham Young University,3,0.44,,0.5,4.1,2.1,0.9,0.2,0.1,0.017,-7.3,-0.2
1970,30,LAL,Earnie Killum,Stetson University,1,0,,1,3,0.3,0.5,0,-0.1,-0.314,,
1970,33,MIL,Bill Zopf,Duquesne University,1,0.363,,0.556,7.5,2.2,0.9,1.4,-0.1,-0.011,,
1970,35,SDR,Curtis Perry,Missouri State University,8,0.455,,0.699,28.5,9.5,8.8,1.9,29.6,0.104,1.4,8.2
1970,38,BOS,Willie Williams,Florida State University,1,0.238,,0.6,4.2,0.9,0.9,0.3,-0.4,-0.17,,
1970,39,CIN,Greg Hyder,Eastern New Mexico University,1,0.447,,0.718,17.6,5.4,4.3,0.6,1.1,0.04,,
1970,40,SEA,Gar Heard,University of Oklahoma,11,0.414,0,0.654,24.9,8.7,7.5,1.6,27,0.066,0,7.9
1970,46,PHI,Dennis Awtrey,Santa Clara University,12,0.459,,0.652,19.3,4.8,4.6,2,22.4,0.076,-1.2,2.2
1970,50,MIL,Marv Winkler,University of Louisiana at Lafayette,1,0.3,,1,4.7,2.7,1.3,0.7,0,-0.121,,
1970,53,SFW,Ralph Ogden,Santa Clara University,1,0.239,,0.667,5.1,1.3,1,0.3,-0.7,-0.208,,
1970,54,BAL,Bill Stricker,University of the Pacific,1,0.667,,,2,4,0,0,0,0.77,,
1970,64,LAL,Larry Mikan,University of Minnesota,1,0.333,,0.618,10.1,3,2.6,0.8,-0.8,-0.073,,
1970,70,SFW,Levi Fontaine,University of Maryland Eastern Shore,1,0.366,,0.757,6,3.8,0.4,0.6,-0.3,-0.069,,
1970,76,POR,Ron Knight,"California State University, Los Angeles",2,0.433,,0.5,11.3,4.7,2.8,0.8,0.2,0.007,,
1970,79,CHI,George Johnson,Dillard University,13,0.451,0.5,0.694,20,4.8,6.5,1,33,0.087,1.1,14
1970,82,ATL,Bob Riley,Mount St. Mary's University,1,0.444,,0.556,5.6,1.9,1.7,0.1,0,0.056,,
1970,83,BAL,Gary Zeller,Drake University,1,0.34,,0.587,8.9,3.5,1.2,0.5,-1.5,-0.107,,
1970,87,SFW,Vic Bartolome,Oregon State University,1,0.254,,0.8,4.3,0.9,1.6,0.1,-0.4,-0.114,,
1970,94,CLE,Joe Cooke,Indiana University,1,0.393,,0.814,9.9,4.3,1.6,1.3,-0.4,-0.025,,
1970,95,PHO,Joe Thomas,Marquette University,1,0.267,,0.45,5.2,1.4,1.1,0.4,-0.6,-0.149,,
1970,103,SDR,Billy Paultz,St. John's University,9,0.491,0,0.643,21.4,8.5,5.6,1.6,26.3,0.093,-0.1,6.5
1970,106,BOS,Charlie Scott,University of North Carolina,8,0.444,0.182,0.772,34.4,17.9,3.6,4.8,26.9,0.067,-0.9,4.3
1970,110,POR,Claude English,University of Rhode Island,1,0.262,,0.714,3.9,1.5,1.1,0.3,-0.3,-0.215,,
